title,description,duration_seconds,release_date,guest,comedian,comedian_sub,comic,comic_sub,phd,phd_sub,actor,actor_sub,writer,writer_sub,author,author_sub,ufc,ufc_sub,musician,musician_sub,artist,artist_sub,founder,founder_sub,youtuber,youtuber_sub,podcast,podcast_sub,ceo,ceo_sub,philanthropist,philanthropist_sub,singer/songwriter,singer/songwriter_sub,screenwriter,screenwriter_sub,scientist,scientist_sub,co-host,co-host_sub,journalist,journalist_sub,entrepreneur,entrepreneur_sub,astrophysicist,astrophysicist_sub,politician,politician_sub,pilot,pilot_sub
JRE MMA Show #136 with Jamahal Hill,Joe sits down with UFC Light Heavyweight Champion Jamahal Hill. https://www.ufc.com/athlete/jamahal-hill,175.97,2023-02-10,Jamahal Hill,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#1939 - B-Real,"B-Real is a hip hop artist, actor, podcaster, and entrepreneur. He's a member of the rap group Cypress Hill, host of several podcasts, including ""Dr. Greenthumb"" and ""The Smokebox,"" and founder of Dr. Greenthumb’s and Insane Cannabis, Phuncky Feel Tips, and Insane Clothing.  www.breal.tv",191.92,2023-02-09,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
#1938 - Mariana van Zeller,"Mariana van Zeller is an award-winning investigative journalist, and host of Nat Geo’s ""Trafficked with Mariana van Zeller.""   www.nationalgeographic.com/tv/shows/trafficked-with-mariana-van-zeller",176.98,2023-02-08,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
#1937 - Punkie Johnson,"Punkie Johnson is a standup comic, writer, actress, and current cast member of ""Saturday Night Live."" http://www.instagram.com/punkiejohnson",160.68,2023-02-07,Punkie Johnson,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JRE #1936 - Krystal Ball & Saagar Enjeti,"Krystal Ball and Saagar Enjeti are political commentators and hosts of the YouTube show and podcast ""Breaking Points."" http://www.youtube.com/@breakingpoints",191.54,2023-02-04,Krystal Ball,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#1935 - Kyle Kulinski,"Kyle Kulinski is a political activist and commentator. He's the host of “Secular Talk"" on Youtube and co-hosts ""Krystal Kyle & Friends"" with Krystal Ball on Substack. https://www.youtube.com/user/SecularTalk https://krystalkyleandfriends.substack.com",202.77,2023-02-03,Kyle Kulinski,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
JRE MMA Show #135 with Paul Felder,"Joe sits down with Paul Felder, a retired professional mixed martial artist and current color commentator for the UFC. www.ufc.com/athlete/paul-felder",188.24,2023-02-01,Paul Felder,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#1934 - Lex Fridman,"Lex Fridman is a scientist and researcher in the fields of artificial intelligence and autonomous vehicles and host of ""The Lex Fridman Podcast."" www.lexfridman.com",190.69,2023-01-31,Lex Fridman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
#1933 - Jordan Peterson,"Dr. Jordan B. Peterson is a clinical psychologist, the author of several best-selling books, among them ""12 Rules for Life: An Antidote to Chaos,"" and ""Beyond Order: 12 More Rules for Life,"" and the host of ""The Jordan B. Peterson Podcast."" www.jordanbpeterson.com",183.63,2023-01-28,Jordan Peterson,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#1932 - Merlin Tuttle,"Dr. Merlin Tuttle is an ecologist, wildlife photographer, and conservationist who has studied bats and championed their preservation for over 60 years. He's the founder of Merlin Tuttle’s Bat Conservation, home to his legacy and devoted to research, education and the conservation of bats. www.merlintuttle.org",111.63,2023-01-27,Merlin Tuttle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
